MasterFile,KABCO_Mod,Mode,Disadvantaged Com ID,MannerofCollision_Real,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVeh,Hit&RunIndicator,OneWayIndicator,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,FirstAidSceneIndicator,TimeNotified,TimeArrived,MedianCros,YR,KABCO,Motorcyclist,CommercialVehicle,YoungDriver,MatureDriver,Pedestrian,Bicyclist,Distracted,agressive,Impaired,Unrestrain,RoadwayDep,MedXover
72298270,O,Motor Vehicle,DAC,ANGLE,20190102,1146.0,N,Y,3.517,0,0,2,2.0,N,N,Y,37.61848,-84.77458,1.0,4.0,6.0,1.0,1.0,3.0,2.0,N,1146,1155,N,2019.0,O,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0
72298365,O,Motor Vehicle,Non DAC,,20190103,1030.0,N,N,15.544,0,0,2,2.0,N,N,Y,37.66422,-84.74288,5.0,4.0,3.0,1.0,1.0,3.0,2.0,N,1041,1051,N,2019.0,O,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0
72298370,O,Motor Vehicle,DAC,ANGLE,20190103,1214.0,N,N,3.661,0,0,2,2.0,N,N,Y,37.62051,-84.77463,1.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1216,1225,N,2019.0,O,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0
72298494,O,Motor Vehicle,Non DAC,,20190103,1517.0,N,Y,15.54,0,0,2,2.0,N,N,Y,37.66437,-84.74298,5.0,4.0,6.0,1.0,1.0,2.0,2.0,N,1519,1530,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72298495,O,Pedestrian,DAC,,20190103,1603.0,N,Y,5.401,0,0,2,1.0,N,N,Y,37.64583,-84.77245,9.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1605,1608,N,2019.0,O,0,0,0,1,1,0,1,0,0,0.0,0.0,0.0
72298548,O,Motor Vehicle,DAC,,20190102,1636.0,N,Y,0.114,0,0,2,2.0,N,N,Y,37.64723,-84.77068,4.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1636,1641,N,2019.0,O,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0
72298570,O,Motor Vehicle,DAC,ANGLE,20190103,1654.0,N,Y,3.65,0,0,2,2.0,N,N,Y,37.62037,-84.77461,1.0,5.0,6.0,1.0,1.0,2.0,2.0,N,1654,1700,N,2019.0,O,0,0,1,1,0,0,0,1,0,0.0,0.0,0.0
72298626,O,Motor Vehicle,DAC,,20190102,1430.0,N,Y,4.222,0,0,2,2.0,N,N,Y,37.62856,-84.77478,5.0,4.0,6.0,1.0,1.0,3.0,2.0,N,1430,1434,N,2019.0,O,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
72298663,O,Motor Vehicle,DAC,,20190104,747.0,N,N,4.491,0,0,3,3.0,N,N,Y,37.63245,-84.77499,5.0,5.0,6.0,1.0,5.0,3.0,1.0,N,747,747,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72298835,O,Motor Vehicle,DAC,,20190103,1434.0,N,Y,5.191,0,0,2,2.0,N,Y,Y,37.64254,-84.77277,8.0,2.0,4.0,1.0,1.0,2.0,2.0,N,1430,1432,N,2019.0,O,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
72298872,B,Motor Vehicle,DAC,REAR-TO-REAR,20190104,1558.0,N,Y,0.224,1,0,2,2.0,N,N,Y,37.61709,-84.77852,6.0,2.0,6.0,1.0,5.0,6.0,2.0,Y,1558,1603,N,2019.0,B,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
72299052,B,Motor Vehicle,DAC,,20190104,2010.0,N,N,4.175,1,0,2,2.0,N,N,Y,37.62787,-84.77481,1.0,5.0,6.0,1.0,5.0,6.0,5.0,Y,2012,2016,N,2019.0,B,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0
72299266,O,Motor Vehicle,DAC,SIDESWIPE-SAME DIRECTION,20190105,1443.0,N,Y,3.405,0,0,2,2.0,N,N,Y,37.61689,-84.77441,8.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1454,1456,N,2019.0,O,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0
72299319,O,Motor Vehicle,DAC,REAR END,20190105,1707.0,N,N,3.539,0,0,2,2.0,N,N,Y,37.61805,-84.77473,5.0,6.0,6.0,1.0,1.0,2.0,2.0,N,1709,1715,N,2019.0,O,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0
72300201,O,Motor Vehicle,DAC,,20190108,745.0,N,N,5.91,0,0,2,2.0,N,N,Y,37.64636,-84.78107,5.0,2.0,4.0,1.0,1.0,3.0,2.0,N,753,754,N,2019.0,O,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
72301886,O,Motor Vehicle,Non DAC,,20190111,2336.0,N,N,0.011,0,0,3,3.0,Y,N,Y,37.64499,-84.75992,5.0,2.0,6.0,1.0,4.0,9.0,5.0,N,2346,2355,N,2019.0,H,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
