MasterFile,Mode,Disadvantaged_Com_ID,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVeh,Hit_RunIndicator,OneWayIndicator,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,FirstAidSceneIndicator,TimeNotified,TimeArrived,MedianCros,YR,KABCO,Motorcyclist,Commercial Vehicle,Young Driver,Mature Driver,Pedestrian,Bicyclist,Distracted,Aggressive,Impaired,Unrestrained,Roadway Departure,Median Cross-over
72298270,Motor Vehicle,DAC,20190102,1146,N,Y,3.517,0,0,2,2,N,N,Y,37.61848,-84.77458,1,4,6,1,1,3,2,N,1146,1155,N,2019,O,0,0,0,1,0,0,0,1,0,0,0,0
72298365,Motor Vehicle,Non DAC,20190103,1030,N,N,15.544,0,0,2,2,N,N,Y,37.66422,-84.74288,5,4,3,1,1,3,2,N,1041,1051,N,2019,O,0,0,0,1,0,0,1,0,0,0,0,0
72298370,Motor Vehicle,DAC,20190103,1214,N,N,3.661,0,0,2,2,N,N,Y,37.62051,-84.77463,1,2,6,1,1,2,2,N,1216,1225,N,2019,O,0,0,1,0,0,0,1,0,0,0,0,0
72298494,Motor Vehicle,Non DAC,20190103,1517,N,Y,15.54,0,0,2,2,N,N,Y,37.66437,-84.74298,5,4,6,1,1,2,2,N,1519,1530,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72298495,Pedestrian,DAC,20190103,1603,N,Y,5.401,0,0,2,1,N,N,Y,37.64583,-84.77245,9,2,6,1,1,2,2,N,1605,1608,N,2019,O,0,0,0,1,1,0,1,0,0,0,0,0
72298548,Motor Vehicle,DAC,20190102,1636,N,Y,0.114,0,0,2,2,N,N,Y,37.64723,-84.77068,4,2,6,1,1,2,2,N,1636,1641,N,2019,O,0,0,0,1,0,0,1,0,0,0,0,0
72298570,Motor Vehicle,DAC,20190103,1654,N,Y,3.65,0,0,2,2,N,N,Y,37.62037,-84.77461,1,5,6,1,1,2,2,N,1654,1700,N,2019,O,0,0,1,1,0,0,0,1,0,0,0,0
72298626,Motor Vehicle,DAC,20190102,1430,N,Y,4.222,0,0,2,2,N,N,Y,37.62856,-84.77478,5,4,6,1,1,3,2,N,1430,1434,N,2019,O,0,0,0,1,0,0,0,0,0,0,0,0
72298663,Motor Vehicle,DAC,20190104,747,N,N,4.491,0,0,3,3,N,N,Y,37.63245,-84.77499,5,5,6,1,5,3,1,N,747,747,N,2019,O,0,0,0,0,0,0,1,0,0,0,0,0
72298835,Motor Vehicle,DAC,20190103,1434,N,Y,5.191,0,0,2,2,N,Y,Y,37.64254,-84.77277,8,2,4,1,1,2,2,N,1430,1432,N,2019,O,0,0,0,1,0,0,0,0,0,0,0,0
